Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_ABI.BR,ABI.BR,1298,7,36.78,Lag1Trend+NoCycle+NoAR,7,0.0077,0.0077,0.8112,0.882142857143,1.14131033716,-0.414563537114
Yahoo_Stock_Price_ACKB.BR,ACKB.BR,1298,7,36.97,Lag1Trend+NoCycle+NoAR,7,0.0081,0.0081,1.1209,0.85,1.06049179966,-0.101158956923
Yahoo_Stock_Price_BEFB.BR,BEFB.BR,1280,7,36.46,Lag1Trend+NoCycle+NoAR,7,0.0115,0.0114,0.8553,0.672857142857,0.885897446499,-0.0684865660652
Yahoo_Stock_Price_BEKB.BR,BEKB.BR,1298,7,36.29,Lag1Trend+NoCycle+NoAR,7,0.0198,0.0195,1.6443,0.805714285714,0.930272617493,-1.21175326174
Yahoo_Stock_Price_COFB.BR,COFB.BR,1293,7,36.82,Lag1Trend+NoCycle+NoAR,7,0.0193,0.0196,1.8438,2.13571428571,2.49349152796,-2.75402008499
Yahoo_Stock_Price_COLR.BR,COLR.BR,1298,7,37.19,Lag1Trend+NoCycle+NoAR,7,0.0147,0.0145,1.4943,0.747142857143,1.05617233442,-1.00169556073
Yahoo_Stock_Price_DELB.BR,DELB.BR,1295,7,36.83,Lag1Trend+NoCycle+NoAR,7,0.0096,0.0096,1.8066,0.978571428571,1.21169892536,-1.47735881537
Yahoo_Stock_Price_DEXB.BR,DEXB.BR,1297,7,36.9,Lag1Trend+Seasonal_DayOfMonth+NoAR,7,0.9994,1.9975,319800000000.0,31.98,31.98,-7.1590428e+13
Yahoo_Stock_Price_GBLB.BR,GBLB.BR,1298,7,37.18,Lag1Trend+NoCycle+NoAR,7,0.0072,0.0072,2.0561,0.541428571429,0.630385369663,-2.81218920031
Yahoo_Stock_Price_KBC.BR,KBC.BR,1298,7,36.71,Lag1Trend+NoCycle+NoAR,7,0.011,0.0111,1.156,0.502857142857,0.645030453323,-1.54942945549
Yahoo_Stock_Price_SOLB.BR,SOLB.BR,1298,7,37.29,Lag1Trend+NoCycle+NoAR,7,0.0143,0.0145,2.5512,1.25857142857,1.45432851467,-2.92951119257
Yahoo_Stock_Price_TNET.BR,TNET.BR,1298,7,36.72,Lag1Trend+NoCycle+NoAR,7,0.0136,0.0137,1.5629,0.567857142857,0.641557813896,-2.7458164625
Yahoo_Stock_Price_UCB.BR,UCB.BR,1298,7,36.69,Lag1Trend+NoCycle+NoAR,7,0.0224,0.0227,2.2518,1.58,1.8569098755,-1.96306636826
Yahoo_Stock_Price_UMI.BR,UMI.BR,1298,7,36.67,Lag1Trend+NoCycle+NoAR,7,0.0087,0.0086,1.3282,0.435,0.467619350693,-1.0543215673
