Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_A2A.MI,A2A.MI,1297,7,16.85,Lag1Trend+NoCycle+NoAR,7,0.0233,0.0237,2.4857,0.029000000000000043,0.035244047116397684,-1.8623494166833838
Yahoo_Stock_Price_AGL.MI,AGL.MI,1297,7,15.85,Lag1Trend+NoCycle+NoAR,7,0.0156,0.0157,3.309,0.11857142857142884,0.12609520212918518,-7.637472216782394
Yahoo_Stock_Price_ATL.MI,ATL.MI,1297,7,16.69,Lag1Trend+NoCycle+NoAR,7,0.0047,0.0046,0.9495,0.10285714285714269,0.13659115219201676,-0.9101546148409383
Yahoo_Stock_Price_BMPS.MI,BMPS.MI,1297,7,16.12,Lag1Trend+NoCycle+NoAR,7,0.1002,0.0938,2.9684,0.02948571428571429,0.03389395226290378,-3.111775770312061
Yahoo_Stock_Price_BP.MI,BP.MI,1297,7,16.95,Lag1Trend+NoCycle+NoAR,7,0.0172,0.0174,0.8237,0.04228571428571432,0.05078807509079833,-0.2384573090565909
Yahoo_Stock_Price_BZU.MI,BZU.MI,1297,7,16.4,Lag1Trend+NoCycle+NoAR,7,0.014,0.0142,1.4341,0.24857142857142733,0.3324368898216394,-1.2041680228170981
Yahoo_Stock_Price_CIR.MI,CIR.MI,1297,7,16.29,Lag1Trend+NoCycle+NoAR,7,0.0172,0.0173,0.6229,0.0172857142857143,0.022269453774813885,-0.056336771525757445
Yahoo_Stock_Price_CPR.MI,CPR.MI,1297,7,16.71,Lag1Trend+NoCycle+NoAR,7,0.0222,0.0226,2.6952,0.20214285714285754,0.24469368606484343,-2.1491171553648107
Yahoo_Stock_Price_ENEL.MI,ENEL.MI,1297,7,16.22,Lag1Trend+NoCycle+NoAR,7,0.0067,0.0067,2.1776,0.02685714285714269,0.027192435923038653,-0.3411311467725755
Yahoo_Stock_Price_ENI.MI,ENI.MI,1297,7,16.56,Lag1Trend+NoCycle+NoAR,7,0.0245,0.0241,4.1486,0.3457142857142867,0.38777755037060785,-3.873792827482716
Yahoo_Stock_Price_G.MI,G.MI,1297,7,16.6,Lag1Trend+NoCycle+NoAR,7,0.0104,0.0103,1.102,0.11571428571428528,0.14035668847618163,-1.8291324678183027
Yahoo_Stock_Price_GEO.MI,GEO.MI,1297,7,16.67,Lag1Trend+NoCycle+NoAR,7,0.0132,0.0131,0.7821,0.035714285714285775,0.04360209693515738,-0.01574493293111634
Yahoo_Stock_Price_ISP.MI,ISP.MI,1297,7,15.73,Lag1Trend+NoCycle+NoAR,7,0.0082,0.0082,0.8649,0.015999999999999952,0.017138094576535753,-0.15542703847150308
